num_exp,id_tratamiento,run_id,dataset,num_predictors,num_rows,noisy_variables,noise_added,model_latex,model_sympy,simplified_model_latex,simplified_model_sympy,error,type_error,error_message
0,0,0,feynman_I_25_13,2,1000,False,False,\frac{q}{C},q/C,\frac{q}{C},q/C,False,,
1,0,1,feynman_I_25_13,2,1000,False,False,\frac{q}{C},q/C,\frac{q}{C},q/C,False,,
2,0,2,feynman_I_25_13,2,1000,False,False,\frac{q}{C},q/C,\frac{q}{C},q/C,False,,
3,1,0,feynman_I_25_13,2,1000,False,True,\frac{q}{C},q/C,\frac{q}{C},q/C,False,,
4,1,1,feynman_I_25_13,2,1000,False,True,\frac{q}{C},q/C,\frac{q}{C},q/C,False,,
5,1,2,feynman_I_25_13,2,1000,False,True,\frac{q}{C},q/C,\frac{q}{C},q/C,False,,
6,2,0,feynman_I_25_13,2,1000,True,False,\frac{q}{C},q/C,\frac{q}{C},q/C,False,,
7,2,1,feynman_I_25_13,2,1000,True,False,\frac{q}{C},q/C,\frac{q}{C},q/C,False,,
8,2,2,feynman_I_25_13,2,1000,True,False,\frac{q}{C},q/C,\frac{q}{C},q/C,False,,
9,3,0,feynman_I_25_13,2,1000,True,True,\frac{q}{C},q/C,\frac{q}{C},q/C,False,,
10,3,1,feynman_I_25_13,2,1000,True,True,\frac{q}{C},q/C,\frac{q}{C},q/C,False,,
11,3,2,feynman_I_25_13,2,1000,True,True,\frac{q}{C},q/C,\frac{q}{C},q/C,False,,
12,4,0,feynman_I_25_13,2,100,False,False,\frac{q}{C},q/C,,,False,,
13,4,1,feynman_I_25_13,2,100,False,False,\frac{q}{C - \frac{7.22632907981463 \cdot 10^{-18}}{1.1244850612128943 - C}},q/(C - 7.22632907981463e-18/(1.1244850612128943 - C)),,,False,,
14,4,2,feynman_I_25_13,2,100,False,False,\frac{q}{C - - \frac{6.862807590539953 \cdot 10^{-18}}{C - 1.1241129607458786}},q/(C - (-1)*6.862807590539953e-18/(C - 1.1241129607458786)),,,False,,
15,5,0,feynman_I_25_13,2,100,False,True,\frac{q}{C},q/C,,,False,,
16,5,1,feynman_I_25_13,2,100,False,True,\frac{q}{C},q/C,,,False,,
17,5,2,feynman_I_25_13,2,100,False,True,\frac{q}{C},q/C,,,False,,
18,6,0,feynman_I_25_13,2,100,True,False,\frac{q}{C + \frac{8.811028031953387 \cdot 10^{-17}}{\begin{cases} \sqrt{noi_{1}} & \text{for}\: noi_{1} > 0 \\-1000000000.0 & \text{otherwise} \end{cases}}},"q/(C + 8.811028031953387e-17/Piecewise((sqrt(noi1), noi1 > 0), (-1000000000.0, True)))",,,False,,
19,6,1,feynman_I_25_13,2,100,True,False,\frac{q}{C + \sin{\left(\frac{noi_{2}}{-1.3279025644857974 \cdot 10^{-14}} \right)} 1.5027750702957607 \cdot 10^{-16} - - \frac{1.3326544936539843 \cdot 10^{-17}}{\cos{\left(C \right)} - -0.4970410845498251} - - \frac{3.572487133399149 \cdot 10^{-17}}{2.5179504983925676 - C}},q/(C + sin(noi2/(-1.3279025644857974e-14))*1.5027750702957607e-16 - (-1)*1.3326544936539843e-17/(cos(C) - 1*(-0.4970410845498251)) - (-1)*3.572487133399149e-17/(2.5179504983925676 - C)),,,False,,
20,6,2,feynman_I_25_13,2,100,True,False,\frac{q}{C - \frac{7.086359864347521 \cdot 10^{-18}}{\sin{\left(C + 2.0206474308802997 \right)}}} - \frac{7.086359864347521 \cdot 10^{-18}}{noi_{2} \left(C + noi_{1} \cdot 0.5871256580833163 + noi_{3}\right)},q/(C - 7.086359864347521e-18/sin(C + 2.0206474308802997)) - 7.086359864347521e-18/(noi2*(C + noi1*0.5871256580833163 + noi3)),,,False,,
21,7,0,feynman_I_25_13,2,100,True,True,\frac{q}{C},q/C,,,False,,
22,7,1,feynman_I_25_13,2,100,True,True,\frac{q}{C},q/C,,,False,,
23,7,2,feynman_I_25_13,2,100,True,True,\frac{q}{C},q/C,,,False,,
24,0,0,feynman_I_29_4,2,1000,False,False,\frac{\omega}{c},omega/c,,,False,,
25,0,1,feynman_I_29_4,2,1000,False,False,\frac{\omega}{c},omega/c,,,False,,
26,0,2,feynman_I_29_4,2,1000,False,False,\frac{\omega}{c},omega/c,,,False,,
27,1,0,feynman_I_29_4,2,1000,False,True,\frac{\omega}{c},omega/c,,,False,,
28,1,1,feynman_I_29_4,2,1000,False,True,\frac{\omega}{c},omega/c,,,False,,
